İsim;Kategori;Birim Tipi;Migros Fiyatı;Birim
Dana Sucuk;Et ve Tavuk;kg;475.0;500 G
Dana Sosis;Et ve Tavuk;kg;555.0;250 G
Piliç Sosis;Et ve Tavuk;kg;162.9;1000 G
Salam;Et ve Tavuk;kg;399.0;250 G
Pastırma;Et ve Tavuk;kg;269.0;100 G
Ton Balığı;Et ve Tavuk;kg;109.95;320 G
Somon Fileto;Et ve Tavuk;kg;549.9;500 G
Karabiber;Baharat ve Sos;kg;58.5;75 G
Pul Biber;Baharat ve Sos;kg;37.5;85 G
Tatlı Toz Biber;Baharat ve Sos;kg;57.95;65 G
Kuru Nane;Baharat ve Sos;kg;16.75;30 G
Kimyon;Baharat ve Sos;kg;79.95;75 G
Kekik;Baharat ve Sos;kg;28.5;25 G
Tarçın;Baharat ve Sos;kg;54.95;45 G
Çubuk Tarçın;Baharat ve Sos;kg;103.95;50 G
Susam;Baharat ve Sos;kg;49.95;75 G
Çörek Otu;Baharat ve Sos;kg;74.95;75 G
Karanfil;Baharat ve Sos;kg;54.95;15 G
Zerdeçal;Baharat ve Sos;kg;104.95;100 G
Zencefil;Baharat ve Sos;kg;74.95;50 G
Sumak;Baharat ve Sos;kg;154.95;75 G
İsot;Baharat ve Sos;kg;154.95;75 G
Yenibahar;Baharat ve Sos;kg;144.95;50 G
Ketçap;Baharat ve Sos;kg;142.95;500 G
Mayonez;Baharat ve Sos;kg;81.95;450 G
Hardal;Baharat ve Sos;kg;75.5;400 G
Soya Sosu;Baharat ve Sos;litre;184.95;250 Ml
Nar Ekşisi;Baharat ve Sos;litre;129.95;250 Ml
Elma Sirkesi;Baharat ve Sos;litre;142.95;1 L
Üzüm Sirkesi;Baharat ve Sos;litre;107.95;1 L
Domates Salçası;Baharat ve Sos;kg;107.95;700 G
Biber Salçası;Baharat ve Sos;kg;79.95;700 G
Et Bulyon;Baharat ve Sos;kg;21.95;60 G
Tavuk Bulyon;Baharat ve Sos;kg;21.95;60 G
Ceviz İçi;Kuruyemiş;kg;299.95;250 G
Çiğ Badem;Kuruyemiş;kg;259.9;200 G
Kavrulmuş Fındık;Kuruyemiş;kg;315.0;200 G
Antep Fıstığı;Kuruyemiş;kg;375.0;200 G
Kuru Üzüm;Kuruyemiş;kg;59.95;250 G
Kuru Kayısı;Kuruyemiş;kg;249.95;250 G
Hindistan Cevizi Tozu;Baharat ve Sos;kg;175.0;50 G
Kakao Tozu;Baharat ve Sos;kg;59.95;50 G
Damla Çikolata;Baharat ve Sos;kg;139.95;100 G
Mor Lahana;Sebze;kg;157.5;1 Kg
Kırmızı Pancar;Sebze;kg;99.95;1 Kg
Yaprak Marul;Sebze;adet;110.5;1 Adet
Taze Reyhan;Sebze;adet;57.95;1 Demet
Dana Eti;Et ve Tavuk;kg;859.95;1 Kg
Levrek Fileto;Et ve Tavuk;kg;599.9;1 Kg
Muskat;Baharat ve Sos;kg;55.0;30 G
Köri;Baharat ve Sos;kg;118.5;500 G
Köfte Baharatı;Baharat ve Sos;kg;449.95;500 G
Karbonat;Temel Gıda;kg;33.45;250 G
Beşamel Sos;Baharat ve Sos;kg;162.95;400 G
Yüksük Makarna;Bakliyat;kg;17.95;500 G
Lazanya;Bakliyat;kg;149.95;500 G
Yıldız Şehriye;Bakliyat;kg;34.95;500 G
Kuskus;Bakliyat;kg;139.9;500 G
Konserve Mısır;Bakliyat;kg;47.5;340 G
Parmesan Peyniri;Süt ve Süt Ürünleri;kg;255.0;150 G
Kornişon Turşu;Diğer;kg;179.95;670 G
Yufka 10'lu;Diğer;adet;179.0;
Ekmek;Diğer;kg;49.95;350 G
Dolmalık Fıstık;Kuruyemiş;kg;399.9;500 G
Kuş Üzümü;Kuruyemiş;kg;67.95;40 G
Mısır;Sebze;adet;52.90; a
Ceviz;Sebze;kg;299.95;250 G
